ES1,ES2,QD1,QD2,QD3,QD4,QD5,QD6,QD7,QD8,SHL1,SHL2,SHL3,SHL4,SHL5,SHL6,SHL7,SHL8,TC1,TC2,TC3,TC4,TC5,TC6,LI1,LI2,LI3,LI4,LI5,LI6,NV1,NV2,NV3,NV4,NV5,NV6,GIOI_TINH,DO_TUOI,HOCVAN,THAM_NIEN
4,3,5,4,4,4,3,4,5,5,3,3,4,4,3,4,4,4,3,3,3,3,3,3,3,3,4,3,3,2,2,4,2,2,2,2,2,2,3,3
4,3,4,4,4,4,3,4,4,4,4,4,3,4,2,3,4,4,4,3,3,3,4,4,2,2,3,3,2,2,1,3,2,2,1,2,2,1,3,1
3,4,4,4,4,3,4,4,4,4,4,4,3,4,4,3,4,4,4,4,3,4,4,4,2,2,3,4,2,2,1,4,1,1,1,1,2,1,3,2
4,3,4,4,4,3,3,4,4,4,4,4,3,4,3,4,4,3,3,3,4,3,3,3,3,3,4,4,2,3,3,4,3,3,3,3,2,1,3,2
3,4,3,2,2,2,4,3,4,4,4,3,4,4,4,3,4,4,2,2,2,2,2,2,2,2,3,4,2,2,3,4,3,2,2,1,2,3,2,1
4,3,5,4,4,3,3,4,5,4,4,3,4,4,3,4,3,4,4,4,3,4,3,4,4,3,3,3,4,4,4,2,4,4,4,4,2,3,2,1
4,3,4,4,4,3,5,4,4,4,3,4,3,4,4,4,4,4,4,3,3,4,4,4,3,3,3,4,4,3,3,3,4,3,4,3,2,1,3,2
3,2,3,3,2,3,4,2,3,2,3,3,3,3,3,2,3,2,3,3,3,3,2,3,3,2,3,4,2,2,2,2,3,2,2,2,2,1,3,2
3,3,1,2,2,2,3,2,2,2,3,4,3,3,4,4,3,3,1,2,4,2,1,1,2,2,2,1,2,2,2,3,2,2,1,2,2,3,2,2
3,3,4,4,4,2,5,4,4,4,3,3,4,3,1,3,3,4,4,4,3,4,3,3,2,3,3,3,2,2,2,4,3,2,2,2,2,1,3,2
3,3,4,4,3,3,4,3,3,4,3,4,4,3,3,3,3,3,4,4,4,4,4,4,4,4,3,4,4,4,2,4,2,2,1,2,2,3,2,2
3,3,4,4,3,3,2,3,3,4,3,4,4,3,2,3,3,3,4,4,2,4,4,4,4,4,3,3,4,4,1,4,4,4,5,1,3,2,3,3
3,4,4,5,4,3,2,4,4,4,4,4,3,4,4,4,4,4,3,3,3,2,3,3,2,2,4,4,1,1,3,4,3,3,2,2,1,1,3,2
4,3,5,4,4,4,3,4,5,5,4,4,3,4,5,4,4,4,3,3,3,4,4,4,4,3,3,4,4,4,4,4,4,4,4,4,2,3,2,3
3,3,3,3,3,4,4,4,3,3,4,3,3,4,4,3,4,3,3,3,3,2,2,3,1,1,3,2,2,2,1,3,2,2,2,2,2,2,2,3
2,2,2,1,2,3,2,1,2,1,3,2,3,2,4,2,3,2,2,2,3,1,1,2,1,1,3,3,1,1,2,4,2,2,2,2,2,2,2,2
4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,4,2,1,4,4,1,1,3,3,3,3,1,1,2,3,2,1
2,3,3,4,3,5,4,3,3,4,3,3,3,3,4,3,3,3,3,4,4,4,3,4,2,3,3,4,3,3,2,4,2,3,3,2,2,1,3,2
2,3,3,4,3,4,4,3,3,4,3,3,3,3,4,3,3,3,3,2,5,3,4,4,3,4,3,4,3,3,3,4,3,3,3,3,2,3,2,1
3,3,3,4,3,4,3,4,3,3,3,4,3,4,4,4,4,3,2,2,4,1,2,2,2,3,4,3,3,2,1,4,1,1,2,1,1,2,2,3
3,3,3,4,4,3,4,3,4,4,4,3,4,4,4,4,3,3,3,4,5,4,4,3,2,2,4,4,2,2,1,2,1,1,1,1,2,3,2,2
3,3,4,5,4,4,3,4,4,4,3,4,3,4,2,4,4,3,4,4,3,4,4,4,4,4,4,4,4,4,1,4,3,3,3,1,1,1,1,2
3,3,3,2,2,2,5,3,2,2,3,3,4,4,3,4,4,3,2,2,4,2,2,2,2,2,4,4,1,1,3,4,3,3,3,3,1,1,1,3
3,3,3,2,3,3,3,3,2,3,4,4,3,4,4,4,3,3,3,3,4,3,3,3,3,3,3,4,2,3,2,4,2,2,3,2,2,3,2,1
2,3,4,4,4,3,4,4,4,4,3,4,3,3,4,3,3,3,3,3,3,3,3,3,2,2,4,3,3,3,1,4,1,1,1,1,2,1,3,2
4,3,5,5,5,4,2,5,4,4,5,4,4,4,2,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,2,2,2,4,2,3,2,1
3,3,3,3,2,2,2,3,3,2,4,3,4,3,4,4,4,4,3,2,3,3,3,2,3,3,4,4,3,3,1,3,1,1,1,1,2,2,3,3
3,3,5,4,4,4,5,4,4,5,3,3,4,4,3,4,4,4,4,4,5,4,3,4,2,2,4,3,2,2,2,3,2,2,2,2,2,2,2,2
3,3,4,3,4,2,3,4,4,4,3,4,3,4,1,4,4,4,2,2,4,2,2,2,2,2,4,4,2,1,5,4,4,4,2,2,2,1,3,2
2,3,4,4,4,4,3,4,4,4,3,4,3,3,2,3,4,3,2,2,4,2,2,2,4,3,5,4,4,2,2,4,3,3,2,3,1,2,2,3
2,3,4,4,4,3,3,4,3,4,3,4,4,3,4,3,3,3,4,3,3,3,4,4,2,3,4,3,3,2,1,4,1,1,1,1,1,1,3,2
3,2,3,3,3,4,3,3,3,3,3,4,3,3,4,3,3,4,3,2,4,2,2,3,3,3,4,4,3,2,4,5,4,4,3,3,1,1,3,2
3,3,4,4,3,5,3,3,4,4,4,3,4,4,5,4,4,4,4,3,1,3,4,3,4,4,2,4,4,4,1,4,1,1,1,1,2,1,2,2
3,3,4,4,3,4,5,3,3,4,4,3,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,2,3
2,3,3,3,4,3,3,4,4,4,3,4,4,3,4,3,3,4,4,4,2,4,3,3,3,2,3,3,2,3,2,2,2,2,2,2,2,1,1,1
2,3,2,3,2,3,3,4,3,3,3,3,4,3,4,4,4,3,2,2,3,3,2,2,2,2,3,3,2,2,2,3,2,2,1,2,2,2,2,2
3,3,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,2,2,3,3,2,3,4,5,4,4,1,1,1,2,2,2
3,3,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,2,3,3,3,3,1,3,1,1,1,1,2,2,2,3
3,2,4,3,4,3,2,4,4,4,4,4,4,3,4,4,4,4,3,4,5,4,3,3,3,3,4,4,3,3,4,5,3,4,3,3,1,1,3,2
